t,FOOT_FLF,FOOT_FRF,FOOT_RLF,FOOT_RRF,MID_FLM,MID_FRM,MID_RLM,MID_RRM,SHOULDER_FL,SHOULDER_FR,SHOULDER_RL,SHOULDER_RR,offset_change,pitch,posture_pitch,posture_roll,roll,roll_effort
1768602613.325,61.16,138.36,74.32,141.25,165.0,104.0,157.62,98.38,53.23,44.23,45.23,45.23,0.959,2.39,0.0,0.0,-9.03,0.959
1768602613.387,60.3,134.74,72.73,138.4,165.0,104.0,157.02,98.98,52.29,43.29,44.29,44.29,0.943,2.0,0.0,0.0,-7.91,0.943
1768602613.447,57.52,132.96,72.94,133.61,165.0,104.0,156.42,99.58,50.79,41.79,42.79,42.79,1.5,2.28,0.0,0.0,-6.72,1.705
1768602613.508,54.76,131.2,73.19,128.86,165.0,104.0,155.82,100.18,49.29,40.29,41.29,41.29,1.5,1.81,0.0,0.0,-4.3,2.449
1768602613.57,53.73,127.96,71.93,125.81,165.0,104.0,155.22,100.78,47.79,38.79,39.79,39.79,1.5,1.23,0.0,0.0,-1.77,2.017
1768602613.631,52.6,125.26,71.25,122.7,165.0,104.0,154.62,101.38,46.29,37.29,38.29,38.29,1.5,1.08,0.0,0.0,0.98,2.343
1768602613.692,52.06,122.71,70.72,120.16,165.0,104.0,154.02,101.98,44.79,35.79,36.79,36.79,1.5,0.97,0.0,0.0,2.69,0.764
1768602613.754,53.42,119.07,69.09,119.53,165.0,104.0,153.42,102.58,43.29,34.29,35.29,35.29,1.5,0.86,0.0,0.0,4.43,2.91
1768602613.815,53.59,117.67,68.63,116.62,165.0,104.0,152.82,103.18,41.79,32.79,33.79,33.79,1.5,1.06,0.0,0.0,6.03,0.517
1768602613.875,54.28,116.77,70.82,116.4,165.0,104.0,152.22,103.78,40.29,31.29,32.29,32.29,1.5,1.4,0.0,0.0,7.7,0.599
1768602613.937,55.57,116.31,72.38,115.69,165.0,104.0,151.62,104.38,38.79,29.79,30.79,30.79,1.5,1.51,0.0,0.0,9.31,0.428
1768602613.997,57.56,116.17,74.25,115.69,165.0,104.0,151.02,104.98,38.64,29.64,30.64,30.64,0.151,1.4,0.0,0.0,10.05,0.081
1768602614.06,58.44,118.04,78.16,114.6,165.0,104.0,150.42,105.58,38.29,29.29,30.29,30.29,0.347,1.73,0.0,0.0,9.75,0.347
1768602614.122,61.47,118.67,80.77,115.6,165.0,104.0,149.82,106.18,38.76,29.76,30.76,30.76,0.464,1.56,0.0,0.0,9.35,0.464
1768602614.183,64.07,120.2,84.31,116.21,165.0,104.0,149.22,106.78,39.32,30.32,31.32,31.32,0.569,1.8,0.0,0.0,8.8,0.569
1768602614.244,67.8,120.95,87.07,117.94,165.0,104.0,148.62,107.38,40.1,31.1,32.1,32.1,0.779,1.44,0.0,0.0,7.92,0.779
1768602614.305,70.88,122.4,90.5,119.01,165.0,104.0,148.02,107.98,41.48,32.48,33.48,33.48,1.376,1.51,0.0,0.0,6.53,1.376
1768602614.366,74.14,123.66,93.76,120.27,165.0,104.0,148.02,107.98,42.79,33.79,34.79,34.79,1.307,1.53,0.0,0.0,5.01,1.307
1768602614.427,75.13,126.8,94.9,123.26,165.0,104.0,148.62,107.38,44.29,35.29,36.29,36.29,1.5,1.58,0.0,0.0,3.19,1.565
1768602614.488,76.25,129.17,95.26,126.38,165.0,104.0,149.22,106.78,45.79,36.79,37.79,37.79,1.5,1.31,0.0,0.0,1.33,1.443
