t,roll,pitch,posture_roll,posture_pitch,roll_effort,offset_change,fsm,swing,brace
1766438681.110,-1.228,0.461,0.000,0.000,0.192,0.192,IDLE,None,0
1766438681.166,-1.144,0.472,0.000,0.000,0.009,0.000,IDLE,None,0
1766438681.223,-1.073,0.343,0.000,0.000,0.018,0.000,IDLE,None,0
1766438681.279,-1.213,0.332,0.000,0.000,0.159,0.150,IDLE,None,0
1766438681.335,-1.331,0.322,0.000,0.000,0.088,0.088,IDLE,None,0
1766438681.392,-1.201,0.349,0.000,0.000,0.185,0.185,IDLE,None,0
1766438681.450,-1.121,0.315,0.000,0.000,0.024,0.000,IDLE,None,0
1766438681.506,-1.164,0.251,0.000,0.000,0.034,0.000,IDLE,None,0
1766438681.564,-1.241,0.243,0.000,0.000,0.061,0.071,IDLE,None,0
1766438681.620,-1.157,0.243,0.000,0.000,0.067,0.067,IDLE,None,0
1766438681.676,-1.112,0.208,0.000,0.000,0.036,0.000,IDLE,None,0
1766438681.733,-1.150,0.197,0.000,0.000,0.030,0.000,IDLE,None,0
1766438681.789,-1.187,0.194,0.000,0.000,0.030,0.000,IDLE,None,0
1766438681.846,-1.165,0.171,0.000,0.000,0.018,0.000,IDLE,None,0
1766438681.902,-1.114,0.156,0.000,0.000,0.041,0.000,IDLE,None,0
1766438681.958,-1.148,0.150,0.000,0.000,0.027,0.000,IDLE,None,0
1766438682.015,-1.187,0.132,0.000,0.000,0.031,0.000,IDLE,None,0
1766438682.071,-1.142,0.121,0.000,0.000,0.036,0.000,IDLE,None,0
1766438682.127,-1.107,0.117,0.000,0.000,0.028,0.000,IDLE,None,0
1766438682.184,-1.139,0.112,0.000,0.000,0.026,0.000,IDLE,None,0
1766438682.241,-1.155,0.100,0.000,0.000,0.013,0.000,IDLE,None,0
1766438682.297,-1.124,0.096,0.000,0.000,0.025,0.000,IDLE,None,0
1766438682.355,-1.106,0.082,0.000,0.000,0.015,0.000,IDLE,None,0
1766438682.411,-1.133,0.074,0.000,0.000,0.022,0.000,IDLE,None,0
1766438682.468,-1.137,0.071,0.000,0.000,0.003,0.000,IDLE,None,0
1766438682.524,-1.109,0.065,0.000,0.000,0.022,0.000,IDLE,None,0
1766438682.580,-1.288,-0.384,0.000,0.000,0.143,0.105,IDLE,None,0
1766438682.636,-1.132,-0.265,0.000,0.000,2.743,1.500,IDLE,None,1
1766438682.693,-0.335,-0.114,0.000,0.000,0.361,1.500,IDLE,None,1
1766438682.750,1.072,-0.218,0.000,0.000,0.677,0.781,IDLE,None,1
1766438682.806,1.996,-0.932,0.000,0.000,0.241,0.241,IDLE,None,1
1766438682.862,2.228,-1.805,0.000,0.000,0.193,0.193,IDLE,None,1
1766438682.919,2.290,-2.117,0.000,0.000,0.967,0.967,IDLE,None,0
1766438682.975,2.094,-1.883,0.000,0.000,0.126,0.126,IDLE,None,1
1766438683.031,1.818,-1.381,0.000,0.000,0.228,0.228,IDLE,None,1
1766438683.088,1.700,-1.023,0.000,0.000,0.082,0.082,IDLE,None,1
1766438683.145,1.536,-1.085,0.000,0.000,0.157,0.157,IDLE,None,1
1766438683.201,0.934,-0.820,0.000,0.000,0.467,0.467,IDLE,None,1
1766438683.258,0.524,-0.731,0.000,0.000,0.776,0.776,IDLE,None,0
1766438683.314,0.365,-0.646,0.000,0.000,0.089,0.089,IDLE,None,0
1766438683.370,0.111,-0.584,0.000,0.000,0.212,0.212,IDLE,None,0
1766438683.427,0.247,-0.586,0.000,0.000,0.331,0.331,IDLE,None,0
1766438683.483,0.504,-0.594,0.000,0.000,0.209,0.209,IDLE,None,0
1766438683.539,0.405,-0.524,0.000,0.000,0.244,0.244,IDLE,None,0
1766438683.597,0.367,-0.509,0.000,0.000,0.051,0.051,IDLE,None,0
1766438683.655,0.298,-0.521,0.000,0.000,0.055,0.055,IDLE,None,0
1766438683.711,0.390,-0.484,0.000,0.000,0.073,0.073,IDLE,None,0
1766438683.768,0.359,-0.500,0.000,0.000,0.025,0.000,IDLE,None,0
1766438683.824,0.162,-0.783,0.000,0.000,0.157,0.182,IDLE,None,0
1766438683.881,0.265,-0.921,0.000,0.000,5.607,1.500,IDLE,None,1
1766438683.937,0.804,-0.552,0.000,0.000,0.035,1.500,IDLE,None,1
1766438683.993,2.277,-0.591,0.000,0.000,0.527,1.500,IDLE,None,1
1766438684.050,3.780,-1.277,0.000,0.000,0.363,1.500,IDLE,None,1
1766438684.106,4.449,-1.752,0.000,0.000,0.198,0.265,IDLE,None,1
1766438684.162,4.859,-1.744,0.000,0.000,2.253,1.500,IDLE,None,0
1766438684.218,4.442,-1.788,0.000,0.000,0.638,1.391,IDLE,None,0
1766438684.275,3.817,-1.472,0.000,0.000,0.747,0.747,IDLE,None,0
1766438684.331,3.111,-0.870,0.000,0.000,0.649,0.649,IDLE,None,0
1766438684.388,2.393,-0.454,0.000,0.000,0.566,0.566,IDLE,None,0
1766438684.444,1.925,-0.269,0.000,0.000,0.246,0.246,IDLE,None,0
1766438684.500,1.503,-0.225,0.000,0.000,0.291,0.291,IDLE,None,0
1766438684.557,1.250,-0.326,0.000,0.000,0.083,0.083,IDLE,None,0
1766438684.613,1.447,-0.313,0.000,0.000,0.310,0.310,IDLE,None,0
1766438684.669,1.426,-0.275,0.000,0.000,0.089,0.089,IDLE,None,0
1766438684.726,1.401,-0.254,0.000,0.000,0.020,0.000,IDLE,None,0
1766438684.782,1.324,-0.264,0.000,0.000,0.062,0.082,IDLE,None,0
1766438684.838,1.349,-0.238,0.000,0.000,0.061,0.061,IDLE,None,0
1766438684.895,1.561,-0.241,0.000,0.000,0.208,0.208,IDLE,None,0
1766438684.951,1.443,-0.269,0.000,0.000,0.235,0.235,IDLE,None,0
1766438685.010,1.355,-0.221,0.000,0.000,0.008,0.000,IDLE,None,0
1766438685.066,1.328,-0.218,0.000,0.000,0.021,0.000,IDLE,None,0
1766438685.123,1.381,-0.226,0.000,0.000,0.043,0.000,IDLE,None,0
1766438685.180,1.303,-0.204,0.000,0.000,0.062,0.000,IDLE,None,0
1766438685.236,1.190,-0.220,0.000,0.000,0.090,0.140,IDLE,None,0
1766438685.292,1.199,-0.236,0.000,0.000,0.007,0.000,IDLE,None,0
1766438685.348,1.217,-0.196,0.000,0.000,0.014,0.000,IDLE,None,0
1766438685.405,1.148,-0.190,0.000,0.000,0.055,0.000,IDLE,None,0
1766438685.461,1.067,-0.164,0.000,0.000,0.065,0.099,IDLE,None,0
1766438685.517,0.974,-0.172,0.000,0.000,0.074,0.074,IDLE,None,0
1766438685.574,0.991,-0.191,0.000,0.000,0.014,0.000,IDLE,None,0
1766438685.630,0.974,-0.189,0.000,0.000,0.013,0.000,IDLE,None,0
1766438685.687,0.894,-0.189,0.000,0.000,0.064,0.064,IDLE,None,0
1766438685.743,0.903,-0.190,0.000,0.000,0.007,0.000,IDLE,None,0
1766438685.800,0.885,-0.182,0.000,0.000,0.014,0.000,IDLE,None,0
1766438685.856,0.849,-0.175,0.000,0.000,0.029,0.000,IDLE,None,0
1766438685.912,0.815,-0.186,0.000,0.000,0.027,0.063,IDLE,None,0
1766438685.968,0.809,-0.179,0.000,0.000,0.005,0.000,IDLE,None,0
1766438686.025,0.806,-0.172,0.000,0.000,0.002,0.000,IDLE,None,0
1766438686.082,0.769,-0.173,0.000,0.000,0.029,0.000,IDLE,None,0
1766438686.138,0.746,-0.171,0.000,0.000,0.019,0.055,IDLE,None,0
1766438686.195,0.733,-0.164,0.000,0.000,0.011,0.000,IDLE,None,0
1766438686.251,0.725,-0.157,0.000,0.000,0.006,0.000,IDLE,None,0
